"","Year","State","State ANSI","Data Item","Value","CV (%)"
"1",2022,"CALIFORNIA","06","ACRES BEARING",46093,21.8
"2",2022,"CALIFORNIA","06","ACRES GROWN",46813,21.9
"3",2022,"CALIFORNIA","06","ACRES NON-BEARING",720,50.2
"4",2022,"CALIFORNIA","06","OPERATIONS WITH AREA BEARING",626,26.9
"5",2022,"CALIFORNIA","06","OPERATIONS WITH AREA GROWN",651,27.8
"6",2022,"CALIFORNIA","06","OPERATIONS WITH AREA NON-BEARING",85,58.8
"7",2022,"FLORIDA","12","ACRES BEARING",13413,5.9
"8",2022,"FLORIDA","12","ACRES GROWN",13663,5.5
"9",2022,"FLORIDA","12","ACRES NON-BEARING",249,23.3
"10",2022,"FLORIDA","12","OPERATIONS WITH AREA BEARING",280,12.6
"11",2022,"FLORIDA","12","OPERATIONS WITH AREA GROWN",280,12.6
"12",2022,"FLORIDA","12","OPERATIONS WITH AREA NON-BEARING",17,31.6
"13",2022,"NEW YORK","36","ACRES BEARING",751,14.3
"14",2022,"NEW YORK","36","ACRES GROWN",913,14.4
"15",2022,"NEW YORK","36","ACRES NON-BEARING",162,16.9
"16",2022,"NEW YORK","36","OPERATIONS WITH AREA BEARING",439,6.4
"17",2022,"NEW YORK","36","OPERATIONS WITH AREA GROWN",475,5.8
"18",2022,"NEW YORK","36","OPERATIONS WITH AREA NON-BEARING",161,6.1
"19",2022,"NORTH CAROLINA","37","ACRES BEARING",1012,17.4
"20",2022,"NORTH CAROLINA","37","ACRES GROWN",1073,16.9
"21",2022,"NORTH CAROLINA","37","ACRES NON-BEARING",61,18.6
"22",2022,"NORTH CAROLINA","37","OPERATIONS WITH AREA BEARING",322,31.4
"23",2022,"NORTH CAROLINA","37","OPERATIONS WITH AREA GROWN",340,32.7
"24",2022,"NORTH CAROLINA","37","OPERATIONS WITH AREA NON-BEARING",60,49.2
"25",2022,"OREGON","41","ACRES BEARING",1664,19.6
"26",2022,"OREGON","41","ACRES GROWN",1853,17.4
"27",2022,"OREGON","41","ACRES NON-BEARING",188,15.2
"28",2022,"OREGON","41","OPERATIONS WITH AREA BEARING",294,6.7
"29",2022,"OREGON","41","OPERATIONS WITH AREA GROWN",313,7.3
"30",2022,"OREGON","41","OPERATIONS WITH AREA NON-BEARING",54,30.7
"31",2022,"WASHINGTON","53","ACRES BEARING",856,35.2
"32",2022,"WASHINGTON","53","ACRES GROWN",1011,38.7
"33",2022,"WASHINGTON","53","ACRES NON-BEARING",156,97.2
"34",2022,"WASHINGTON","53","OPERATIONS WITH AREA BEARING",287,16.1
"35",2022,"WASHINGTON","53","OPERATIONS WITH AREA GROWN",307,11
"36",2022,"WASHINGTON","53","OPERATIONS WITH AREA NON-BEARING",50,44.1
"37",2017,"CALIFORNIA","06","ACRES BEARING",36759,5.2
"38",2017,"CALIFORNIA","06","ACRES GROWN",36768,5.2
"39",2017,"CALIFORNIA","06","ACRES NON-BEARING",9,NA
"40",2017,"CALIFORNIA","06","OPERATIONS WITH AREA BEARING",658,25.7
"41",2017,"CALIFORNIA","06","OPERATIONS WITH AREA GROWN",676,24.5
"42",2017,"CALIFORNIA","06","OPERATIONS WITH AREA NON-BEARING",48,90.6
"43",2017,"FLORIDA","12","ACRES BEARING",9426,16.6
"44",2017,"FLORIDA","12","ACRES GROWN",9499,16.8
"45",2017,"FLORIDA","12","ACRES NON-BEARING",73,86.5
"46",2017,"FLORIDA","12","OPERATIONS WITH AREA BEARING",195,20.8
"47",2017,"FLORIDA","12","OPERATIONS WITH AREA GROWN",201,19.8
"48",2017,"FLORIDA","12","OPERATIONS WITH AREA NON-BEARING",17,96.3
"49",2017,"NEW YORK","36","ACRES BEARING",990,31.4
"50",2017,"NEW YORK","36","ACRES GROWN",1229,21.2
"51",2017,"NEW YORK","36","ACRES NON-BEARING",240,49.5
"52",2017,"NEW YORK","36","OPERATIONS WITH AREA BEARING",518,17
"53",2017,"NEW YORK","36","OPERATIONS WITH AREA GROWN",568,13.5
"54",2017,"NEW YORK","36","OPERATIONS WITH AREA NON-BEARING",194,21.7
"55",2017,"NORTH CAROLINA","37","ACRES BEARING",831,28.8
"56",2017,"NORTH CAROLINA","37","ACRES GROWN",855,27.6
"57",2017,"NORTH CAROLINA","37","ACRES NON-BEARING",24,35.2
"58",2017,"NORTH CAROLINA","37","OPERATIONS WITH AREA BEARING",357,27.5
"59",2017,"NORTH CAROLINA","37","OPERATIONS WITH AREA GROWN",369,25.1
"60",2017,"NORTH CAROLINA","37","OPERATIONS WITH AREA NON-BEARING",43,31.2
"61",2017,"OREGON","41","ACRES BEARING",1855,18.2
"62",2017,"OREGON","41","ACRES GROWN",2234,20
"63",2017,"OREGON","41","ACRES NON-BEARING",379,39.6
"64",2017,"OREGON","41","OPERATIONS WITH AREA BEARING",277,29
"65",2017,"OREGON","41","OPERATIONS WITH AREA GROWN",324,25.6
"66",2017,"OREGON","41","OPERATIONS WITH AREA NON-BEARING",99,37.6
"67",2017,"WASHINGTON","53","ACRES BEARING",1138,17
"68",2017,"WASHINGTON","53","ACRES GROWN",1218,16
"69",2017,"WASHINGTON","53","ACRES NON-BEARING",80,14.7
"70",2017,"WASHINGTON","53","OPERATIONS WITH AREA BEARING",364,23.9
"71",2017,"WASHINGTON","53","OPERATIONS WITH AREA GROWN",411,20.7
"72",2017,"WASHINGTON","53","OPERATIONS WITH AREA NON-BEARING",71,21.7
"73",2012,"CALIFORNIA","06","ACRES GROWN",40926,8.2
"74",2012,"CALIFORNIA","06","ACRES HARVESTED",38800,8.7
"75",2012,"CALIFORNIA","06","ACRES NOT HARVESTED",2126,32.5
"76",2012,"CALIFORNIA","06","OPERATIONS WITH AREA GROWN",995,10.3
"77",2012,"CALIFORNIA","06","OPERATIONS WITH AREA HARVESTED",887,10.1
"78",2012,"CALIFORNIA","06","OPERATIONS WITH AREA NOT HARVESTED",216,11.4
"79",2012,"FLORIDA","12","ACRES GROWN",11400,10.5
"80",2012,"FLORIDA","12","ACRES HARVESTED",11350,10.6
"81",2012,"FLORIDA","12","ACRES NOT HARVESTED",50,33
"82",2012,"FLORIDA","12","OPERATIONS WITH AREA GROWN",242,11.7
"83",2012,"FLORIDA","12","OPERATIONS WITH AREA HARVESTED",233,11.2
"84",2012,"FLORIDA","12","OPERATIONS WITH AREA NOT HARVESTED",14,28.7
"85",2012,"NEW YORK","36","ACRES GROWN",1220,11.2
"86",2012,"NEW YORK","36","ACRES HARVESTED",981,12.3
"87",2012,"NEW YORK","36","ACRES NOT HARVESTED",239,15.1
"88",2012,"NEW YORK","36","OPERATIONS WITH AREA GROWN",588,7.9
"89",2012,"NEW YORK","36","OPERATIONS WITH AREA HARVESTED",496,8
"90",2012,"NEW YORK","36","OPERATIONS WITH AREA NOT HARVESTED",202,13.8
"91",2012,"NORTH CAROLINA","37","ACRES GROWN",1028,6.9
"92",2012,"NORTH CAROLINA","37","ACRES HARVESTED",978,7.6
"93",2012,"NORTH CAROLINA","37","ACRES NOT HARVESTED",50,28.2
"94",2012,"NORTH CAROLINA","37","OPERATIONS WITH AREA GROWN",407,7.2
"95",2012,"NORTH CAROLINA","37","OPERATIONS WITH AREA HARVESTED",365,6.6
"96",2012,"NORTH CAROLINA","37","OPERATIONS WITH AREA NOT HARVESTED",70,16.8
"97",2012,"OREGON","41","ACRES GROWN",2121,9.8
"98",2012,"OREGON","41","ACRES HARVESTED",1742,10
"99",2012,"OREGON","41","ACRES NOT HARVESTED",380,13.5
"100",2012,"OREGON","41","OPERATIONS WITH AREA GROWN",399,6.4
"101",2012,"OREGON","41","OPERATIONS WITH AREA HARVESTED",342,5.3
"102",2012,"OREGON","41","OPERATIONS WITH AREA NOT HARVESTED",128,7.2
"103",2012,"WASHINGTON","53","ACRES GROWN",1514,12.4
"104",2012,"WASHINGTON","53","ACRES HARVESTED",1313,13.3
"105",2012,"WASHINGTON","53","ACRES NOT HARVESTED",201,10.4
"106",2012,"WASHINGTON","53","OPERATIONS WITH AREA GROWN",614,17.2
"107",2012,"WASHINGTON","53","OPERATIONS WITH AREA HARVESTED",477,13
"108",2012,"WASHINGTON","53","OPERATIONS WITH AREA NOT HARVESTED",198,25.2
"109",2007,"CALIFORNIA","06","ACRES GROWN",34442,NA
"110",2007,"CALIFORNIA","06","ACRES HARVESTED",34101,NA
"111",2007,"CALIFORNIA","06","ACRES NOT HARVESTED",341,NA
"112",2007,"CALIFORNIA","06","OPERATIONS WITH AREA GROWN",729,NA
"113",2007,"CALIFORNIA","06","OPERATIONS WITH AREA HARVESTED",719,NA
"114",2007,"CALIFORNIA","06","OPERATIONS WITH AREA NOT HARVESTED",77,NA
"115",2007,"FLORIDA","12","ACRES GROWN",6594,NA
"116",2007,"FLORIDA","12","ACRES HARVESTED",6538,NA
"117",2007,"FLORIDA","12","ACRES NOT HARVESTED",56,NA
"118",2007,"FLORIDA","12","OPERATIONS WITH AREA GROWN",212,NA
"119",2007,"FLORIDA","12","OPERATIONS WITH AREA HARVESTED",202,NA
"120",2007,"FLORIDA","12","OPERATIONS WITH AREA NOT HARVESTED",15,NA
"121",2007,"NEW YORK","36","ACRES GROWN",1659,NA
"122",2007,"NEW YORK","36","ACRES HARVESTED",1435,NA
"123",2007,"NEW YORK","36","ACRES NOT HARVESTED",224,NA
"124",2007,"NEW YORK","36","OPERATIONS WITH AREA GROWN",625,NA
"125",2007,"NEW YORK","36","OPERATIONS WITH AREA HARVESTED",598,NA
"126",2007,"NEW YORK","36","OPERATIONS WITH AREA NOT HARVESTED",146,NA
"127",2007,"NORTH CAROLINA","37","ACRES GROWN",1360,NA
"128",2007,"NORTH CAROLINA","37","ACRES HARVESTED",1303,NA
"129",2007,"NORTH CAROLINA","37","ACRES NOT HARVESTED",56,NA
"130",2007,"NORTH CAROLINA","37","OPERATIONS WITH AREA GROWN",380,NA
"131",2007,"NORTH CAROLINA","37","OPERATIONS WITH AREA HARVESTED",333,NA
"132",2007,"NORTH CAROLINA","37","OPERATIONS WITH AREA NOT HARVESTED",62,NA
"133",2007,"OREGON","41","ACRES GROWN",2271,NA
"134",2007,"OREGON","41","ACRES HARVESTED",1960,NA
"135",2007,"OREGON","41","ACRES NOT HARVESTED",311,NA
"136",2007,"OREGON","41","OPERATIONS WITH AREA GROWN",315,NA
"137",2007,"OREGON","41","OPERATIONS WITH AREA HARVESTED",285,NA
"138",2007,"OREGON","41","OPERATIONS WITH AREA NOT HARVESTED",67,NA
"139",2007,"WASHINGTON","53","ACRES GROWN",1715,NA
"140",2007,"WASHINGTON","53","ACRES HARVESTED",1408,NA
"141",2007,"WASHINGTON","53","ACRES NOT HARVESTED",307,NA
"142",2007,"WASHINGTON","53","OPERATIONS WITH AREA GROWN",326,NA
"143",2007,"WASHINGTON","53","OPERATIONS WITH AREA HARVESTED",304,NA
"144",2007,"WASHINGTON","53","OPERATIONS WITH AREA NOT HARVESTED",54,NA
"145",2002,"CALIFORNIA","06","ACRES HARVESTED",32183,NA
"146",2002,"CALIFORNIA","06","OPERATIONS WITH AREA HARVESTED",684,NA
"147",2002,"FLORIDA","12","ACRES HARVESTED",6595,NA
"148",2002,"FLORIDA","12","OPERATIONS WITH AREA HARVESTED",217,NA
"149",2002,"NEW YORK","36","ACRES HARVESTED",1406,NA
"150",2002,"NEW YORK","36","OPERATIONS WITH AREA HARVESTED",488,NA
"151",2002,"NORTH CAROLINA","37","ACRES HARVESTED",991,NA
"152",2002,"NORTH CAROLINA","37","OPERATIONS WITH AREA HARVESTED",279,NA
"153",2002,"OREGON","41","ACRES HARVESTED",3013,NA
"154",2002,"OREGON","41","OPERATIONS WITH AREA HARVESTED",328,NA
"155",2002,"WASHINGTON","53","ACRES HARVESTED",1953,NA
"156",2002,"WASHINGTON","53","OPERATIONS WITH AREA HARVESTED",226,NA
"157",1997,"CALIFORNIA","06","ACRES HARVESTED",28381,NA
"158",1997,"CALIFORNIA","06","OPERATIONS WITH AREA HARVESTED",882,NA
"159",1997,"FLORIDA","12","ACRES HARVESTED",6434,NA
"160",1997,"FLORIDA","12","OPERATIONS WITH AREA HARVESTED",271,NA
"161",1997,"NEW YORK","36","ACRES HARVESTED",1617,NA
"162",1997,"NEW YORK","36","OPERATIONS WITH AREA HARVESTED",539,NA
"163",1997,"NORTH CAROLINA","37","ACRES HARVESTED",943,NA
"164",1997,"NORTH CAROLINA","37","OPERATIONS WITH AREA HARVESTED",316,NA
"165",1997,"OREGON","41","ACRES HARVESTED",4545,NA
"166",1997,"OREGON","41","OPERATIONS WITH AREA HARVESTED",365,NA
"167",1997,"WASHINGTON","53","ACRES HARVESTED",1419,NA
"168",1997,"WASHINGTON","53","OPERATIONS WITH AREA HARVESTED",224,NA
